subject,real,pre,post
Your payment has been declined,Yes,No,Yes
John give us another chance? We've got thousands of new TV shows and movies.,No,No,Yes
Your number has been updated.,No,no,Maybe
Update your payment details,No,No,Yes
Please update your payment details,Yes,Maybe,Yes
Free Netflix for 30 days,Yes,Maybe,Yes
We are sorry to say goodbye,No,No,Maybe
Your cancellation confirmation,Yes,No,No
Account suspended,Yes,No,Yes
New sign-in to Netflix,Yes,No,Yes
Your account has been compromised,Yes,No,Yes
Spreadsheet,Yes,Maybe,Maybe
