subject,real,pre,post
Your payment has been declined,Yes,No,No
John give us another chance? We've got thousands of new TV shows and movies.,No,No,No
Your number has been updated.,No,Maybe,No
Update your payment details,No,Maybe,No
Please update your payment details,Yes,Yes,Yes
Free Netflix for 30 days,Yes,Yes,Yes
We are sorry to say goodbye,No,No,No
Your cancellation confirmation,Yes,No,Yes
Account suspended,Yes,Yes,Yes
New sign-in to Netflix,Yes,Yes,Yes
Your account has been compromised,Yes,Yes,Yes
Spreadsheet,Yes,Yes,Yes
